term_str,n,p,port_stem,stop,df,tf_sum,tf_mean,tf_max,tfidf_sum,tfidf_mean,tfidf_max,tfth_sum,tfth_mean,tfth_max,th_sum,th_mean,th_max
'account,1,5.295376077609032e-06,'account,0,1.0,0.00045294524995978525,7.677038134911615e-06,0.0004528967848801983,0.0026645152264173928,4.5161275024023605e-05,0.002664230123653824,2.2794337851916253e-06,3.8634470935451274e-08,2.2791898860894218e-06,0.005032470890011551,8.52961167798568e-05,0.0050310175588079336
'air,1,5.295376077609032e-06,'air,0,1.0,0.0006949707268923837,1.1779164862582774e-05,0.0006949225038382737,0.004088264716063426,6.929262230615976e-05,0.004087981037049348,5.0675744394066416e-06,8.58910921933329e-08,5.0672228074501554e-06,0.007291781140288742,0.00012358951085235156,0.007290334892347938
'and,6,3.177225646565419e-05,'and,0,4.0,0.004039206913635039,6.846113412940744e-05,0.0020876676532352086,0.015682798648159385,0.00026581014657897265,0.008105668303211229,0.00015839625553882374,2.684682297268199e-06,8.186724427652305e-05,0.03921469212288428,0.0006646557986929539,0.018588367785328505
'arm,1,5.295376077609032e-06,'arm,0,1.0,0.00045294524995978525,7.677038134911615e-06,0.0004528967848801983,0.0026645152264173928,4.5161275024023605e-05,0.002664230123653824,2.2794337851916253e-06,3.8634470935451274e-08,2.2791898860894218e-06,0.005032470890011551,8.52961167798568e-05,0.0050310175588079336
'as,1,5.295376077609032e-06,'a,0,1.0,0.0006959379037579931,1.1795557690813443e-05,0.00069588968167106,0.004093954272329407,6.938905546321029e-05,0.004093670599004885,5.080716467721016e-06,8.611383843594942e-08,5.08036442086473e-06,0.007300531326553231,0.00012373781909412256,0.0072990851066399845
'at,2,1.0590752155218063e-05,'at,0,2.0,0.0014384591712682177,2.43806639198003e-05,0.0007434891878642786,0.007023482674383561,0.00011904207922684002,0.0036301923154012004,2.1604419070826426e-05,3.661765944207869e-07,1.1166567887419865e-05,0.015019139578204981,0.0002545616877661861,0.007727380984181474
'because,1,5.295376077609032e-06,'becaus,0,1.0,0.00045294524995978525,7.677038134911615e-06,0.0004528967848801983,0.0026645152264173928,4.5161275024023605e-05,0.002664230123653824,2.2794337851916253e-06,3.8634470935451274e-08,2.2791898860894218e-06,0.005032470890011551,8.52961167798568e-05,0.0050310175588079336
'but,3,1.5886128232827094e-05,'but,0,3.0,0.0016081796795913467,2.725728270493808e-05,0.00069588968167106,0.006911442527698943,0.0001171430936898126,0.002990711548917473,2.8022222660272812e-05,4.749529264453019e-07,1.2125744314670135e-05,0.01742480831954892,0.00029533573422964267,0.0072990851066399845
'camilla,1,5.295376077609032e-06,'camilla,0,1.0,0.00041327021144090594,7.0045798549306095e-06,0.0004132217066862805,0.0024311211368411426,4.12054429973075e-05,0.0024308358006834853,1.9202168736150433e-06,3.2546048705339715e-08,1.919991501338736e-06,0.004646395555392256,7.87524670405467e-05,0.004644941047326705
'cept,1,5.295376077609032e-06,'cept,0,1.0,0.00045294524995978525,7.677038134911615e-06,0.0004528967848801983,0.0026645152264173928,4.5161275024023605e-05,0.002664230123653824,2.2794337851916253e-06,3.8634470935451274e-08,2.2791898860894218e-06,0.005032470890011551,8.52961167798568e-05,0.0050310175588079336
