term_str,n,p,port_stem,stop,df,tf_sum,tf_mean,tf_max,tfidf_sum,tfidf_mean,tfidf_max,tfth_sum,tfth_mean,tfth_max,th_sum,th_mean,th_max
aback,1,5.362390339117565e-06,aback,0,1.0,0.0006211302792573783,8.393652422397004e-06,0.0006161383527922364,0.003856879503028777,5.2119993284172666e-05,0.00382588236843883,4.147239222296148e-06,5.604377327427227e-08,4.113908512262483e-06,0.0066769232813035165,9.022869299058805e-05,0.006570781608707262
abandon,3,1.6087171017352694e-05,abandon,0,3.0,0.0013602284459902426,1.838146548635463e-05,0.0006802664399622065,0.006290364022669604,8.500491922526492e-05,0.0031458859373085703,2.029795786385742e-05,2.7429672788996513e-07,1.015125038389927e-05,0.014922462417024777,0.00020165489752736184,0.007157499852268553
abandoned,13,6.971107440852834e-05,abandon,0,12.0,0.008100200883014911,0.0001094621740947961,0.0012476505815558461,0.021258903221390676,0.00028728247596473885,0.0032744475538902143,0.0006745386459193396,9.115387107018104e-06,0.00010389724230517061,0.08327431080552104,0.001125328524398933,0.012035549090618002
abandoning,1,5.362390339117565e-06,abandon,0,1.0,0.00035330157123406237,4.774345557217059e-06,0.0003483093769402119,0.002193809630581343,2.9646076088937065e-05,0.0021628108329215215,1.4511151502329913e-06,1.960966419233772e-08,1.43061071616719e-06,0.004107298886796141,5.550403901075867e-05,0.00400114930632351
abandonment,4,2.144956135647026e-05,abandon,0,3.0,0.0017958883386850332,2.426876133358153e-05,0.0010559519665670734,0.008305069216643377,0.00011223066508977537,0.004883240223170851,3.399499075719096e-05,4.5939176698906707e-07,1.9988479556456973e-05,0.018929345452558817,0.00025580196557511915,0.01044045060025244
abandons,1,5.362390339117565e-06,abandon,0,1.0,0.0006861850862256998,9.27277143548243e-06,0.0006811932248153648,0.004260834293108565,5.757884179876439e-05,0.004229837562473405,4.9899742639630206e-06,6.743208464814893e-08,4.953673183588549e-06,0.007272052925851144,9.827098548447493e-05,0.007165913145030271
abashed,2,1.072478067823513e-05,abash,0,2.0,0.001469328029377991,1.985578418078366e-05,0.000842451088096943,0.007654395847856131,0.00010343778172778556,0.004388709656264391,2.253055101561064e-05,3.0446690561636e-07,1.2918073322646708e-05,0.015333914936032693,0.0002072150667031445,0.008604053595467145
abbas,2,1.072478067823513e-05,abba,0,1.0,0.0010925320091382342,1.4763946069435597e-05,0.0010875400103050892,0.00678402656120077,9.167603461082122e-05,0.006753028977245079,1.1813183838314699e-05,1.5963761943668512e-07,1.1759207021669186e-05,0.010812666118251924,0.00014611710970610707,0.01070652232950054
abbatial,1,5.362390339117565e-06,abbati,0,1.0,0.00019867786947433256,2.684836073977467e-06,0.00019368552055678054,0.0012336809652833845,1.6671364395721412e-05,0.0012026812074948962,4.95715343468017e-07,6.69885599281104e-09,4.832590796429397e-07,0.002495070763440307,3.371717247892307e-05,0.002388916488843337
abbe,1,5.362390339117565e-06,abb,0,1.0,0.00019867786947433256,2.684836073977467e-06,0.00019368552055678054,0.0012336809652833845,1.6671364395721412e-05,0.0012026812074948962,4.95715343468017e-07,6.69885599281104e-09,4.832590796429397e-07,0.002495070763440307,3.371717247892307e-05,0.002388916488843337
abbey,19,0.00010188541644323373,abbey,0,9.0,0.008686259952060524,0.00011738189124406114,0.002352922775235014,0.026402133502986418,0.00035678558787819483,0.0071517755140675645,0.0007325635228837445,9.899507065996548e-06,0.00019843585234755468,0.08433589679871009,0.0011396742810636498,0.02054414595320929
abbeys,4,2.144956135647026e-05,abbey,0,1.0,0.0007797338500886934,1.0536943920117477e-05,0.0007747415011711416,0.004841720979728056,6.542866188821698e-05,0.0048107212219395705,6.325459005204856e-06,8.547917574601157e-08,6.2849594188215524e-06,0.008112330899172,0.00010962609323205406,0.008006176624575033
