term_str,n,p,port_stem,stop,df,tf_sum,tf_mean,tf_max,tfidf_sum,tfidf_mean,tfidf_max,tfth_sum,tfth_mean,tfth_max,th_sum,th_mean,th_max
abandoned,3,4.050058725851525e-05,abandon,0,3.0,0.0027627148831767894,8.371863282353907e-05,0.0013422718364889466,0.009557423220141631,0.00028961888545883733,0.004643497631956214,7.629860649063452e-05,2.3120789845646824e-06,3.70698660507335e-05,0.027617256835023196,0.0008368865707582786,0.012806759764511167
abashed,2,2.7000391505676832e-05,abash,0,2.0,0.0019670637273680063,5.9607991738424436e-05,0.0011049657654379316,0.007955580971370484,0.00024107821125365103,0.0044689170438295825,3.861239867516282e-05,1.170072687126146e-06,2.168988124984821e-05,0.019629459960012287,0.0005948321200003724,0.0108527335424967
abhor,1,1.3500195752838416e-05,abhor,0,1.0,0.000931128015668262,2.8216000474795817e-05,0.0009310941493631937,0.004696976686606886,0.00014233262686687534,0.0046968058516167555,8.73025089724798e-06,2.64553057492363e-07,8.72993336696725e-06,0.00937599422457755,0.0002841210371084106,0.009374987105928058
abide,2,2.7000391505676832e-05,abid,0,2.0,0.0012619554523819777,3.824107431460539e-05,0.0006565967504695559,0.005103845210506006,0.00015466197607593959,0.0026555360363889418,1.6927778757873e-05,5.129629926628181e-07,8.80754110940099e-06,0.01341392735054263,0.00040648264698614034,0.006942003595387708
able,52,0.0007020101791475977,abl,0,26.0,0.05103216000105542,0.0015464290909410732,0.006153807296504301,0.01755273603599158,0.0005319010919997448,0.002116629103876165,0.022793928924650406,0.0006907251189288002,0.0027486480315474246,0.4466581254679208,0.013535094711149115,0.04519543780493644
ablution,1,1.3500195752838416e-05,ablut,0,1.0,0.0009833128570501458,2.979735930454987e-05,0.000983279042929919,0.004960217593593316,0.00015030962404828232,0.004960047021844092,9.660137181642487e-06,2.92731429746742e-07,9.659804989260656e-06,0.009824072890312925,0.0002976991784943311,0.00982306725986896
aboard,2,2.7000391505676832e-05,aboard,0,1.0,0.0013132269851452109,3.979475712561245e-05,0.0013131928443430182,0.006624434481249333,0.00020074043882573736,0.006624262261587521,1.6509657707863074e-05,5.002926578140326e-07,1.6509228495728056e-05,0.012571823374492658,0.00038096434468159573,0.012570808351703438
abode,2,2.7000391505676832e-05,abod,0,2.0,0.001734209760645805,5.255181092866076e-05,0.0010775799469529257,0.007013827757689923,0.00021254023508151282,0.004358158000595007,3.0462709300229687e-05,9.231124030372632e-07,1.892850877483228e-05,0.01756575818653312,0.0005322957026222157,0.010622771668955913
abolished,1,1.3500195752838416e-05,abolish,0,1.0,0.0006349528849872415,1.9240996514764894e-05,0.0006349187225070427,0.0032029525990993264,9.705916966967656e-05,0.003202780270085108,4.28248836062987e-06,1.2977237456454152e-07,4.282257949165837e-06,0.00674457658494759,0.00020438110863477544,0.006743560931639202
abominable,1,1.3500195752838416e-05,abomin,0,1.0,0.0005583801194618877,1.6920609680663262e-05,0.0005583458804089233,0.0028166893909802168,8.535422396909748e-05,0.002816516675702791,3.369719262518673e-06,1.0211270492480827e-07,3.369512636257667e-06,0.006034812388675442,0.0001828731026871346,0.006033794499385895
