term_str,n,p,port_stem,stop,df,tf_sum,tf_mean,tf_max,tfidf_sum,tfidf_mean,tfidf_max,tfth_sum,tfth_mean,tfth_max,th_sum,th_mean,th_max
abandon,5,2.8815786440443534e-05,abandon,0,5.0,0.004089767107367224,6.816278512278706e-05,0.0011918818974181124,0.01466166171659433,0.00024436102860990553,0.004272851907532313,0.0001687879412510489,2.8131323541841484e-06,4.9189913850400917e-05,0.04127079533379731,0.0006878465888966218,0.011576204176289481
abandoned,10,5.763157288088707e-05,abandon,0,8.0,0.00743332891256269,0.00012388881520937817,0.0017590001409151898,0.021607873909993382,0.00036013123183322305,0.005113220967300425,0.0005483251549755589,9.13875258292598e-06,0.00012975398185855768,0.07376575978615216,0.0012294293297692026,0.01609666074867935
abandoning,1,5.763157288088707e-06,abandon,0,1.0,0.0004792053255351861,7.986755425586436e-06,0.0004791548348881957,0.0028306134307693096,4.7176890512821825e-05,0.0028303151880414356,2.5327259978874102e-06,4.221209996479017e-08,2.5324591415578396e-06,0.005285262627369198,8.80877104561533e-05,0.005283745995614804
abandonment,2,1.1526314576177413e-05,abandon,0,2.0,0.0016247014519845835,2.707835753307639e-05,0.0008795005102074101,0.007972232275414657,0.0001328705379235776,0.004315612782369635,2.7086331661638147e-05,4.5143886102730243e-07,1.4662658476090243e-05,0.01667157472442215,0.00027785957874036914,0.008927834274285224
abandons,2,1.1526314576177413e-05,abandon,0,2.0,0.001067600027389383,1.779333378982305e-05,0.0006738505160431712,0.0052385965342683595,8.7309942237806e-05,0.003306510760018184,1.2334720387508366e-05,2.0557867312513945e-07,7.785460364492117e-06,0.011553690587354733,0.00019256150978924554,0.007099206420982073
abbe,13,7.492104474515319e-05,abb,0,6.0,0.00864150839563058,0.00014402513992717634,0.0035429274292559897,0.028706469521650218,0.0004784411586941703,0.01176935016539253,0.000683778667703939,1.1396311128398983e-05,0.00028034205215530855,0.07912723524630026,0.0013187872541050043,0.028842413729983467
abbey,1,5.763157288088707e-06,abbey,0,1.0,0.0007819055987539287,1.3031759979232145e-05,0.0007818554108072114,0.0046186308279332275,7.697718046555379e-05,0.004618334373222752,6.310673594928058e-06,1.0517789324880096e-07,6.31026853356178e-06,0.008070889382279603,0.00013451482303799338,0.008069381569449686
abdicated,1,5.763157288088707e-06,abdic,0,1.0,0.0008361642809541877,1.393607134923646e-05,0.0008361141472661524,0.004939130927552047,8.231884879253412e-05,0.0049388347933416715,7.1491608845330455e-06,1.1915268140888409e-07,7.148732244121515e-06,0.008549947716464036,0.00014249912860773392,0.008548441464154259
abel,1,5.763157288088707e-06,abel,0,1.0,0.0007452018212768041,1.2420030354613401e-05,0.0007451515966263091,0.004401825629930291,7.336376049883819e-05,0.004401528958414618,5.7706692032137935e-06,9.617782005356323e-08,5.77028027522734e-06,0.0077437669077707345,0.00012906278179617892,0.007742258036253701
abhorrent,1,5.763157288088707e-06,abhorr,0,1.0,0.0008873544311751659,1.4789240519586098e-05,0.0008873043486772808,0.005241505544480132,8.735842574133552e-05,0.0052412097126443725,7.983747597905892e-06,1.330624599650982e-07,7.983296993267949e-06,0.008997247680763406,0.00014995412801272344,0.008995742896054676
abject,2,1.1526314576177413e-05,abject,0,2.0,0.0012810536465698737,2.1350894109497893e-05,0.0008873043486772808,0.0062859900908237105,0.00010476650151372851,0.004353905363967092,1.7230454545753924e-05,2.8717424242923207e-07,1.1934439505379278e-05,0.013450220911427,0.00022417034852378334,0.008995742896054676
able,60,0.00034578943728532236,abl,0,33.0,0.04375621285644788,0.0007292702142741314,0.004604723176437103,0.037739579402734105,0.0006289929900455684,0.003971557513784008,0.01786788952602637,0.0002977981587671062,0.0018803429191744396,0.40835091429521114,0.006805848571586852,0.03574494580008933
aboard,1,5.763157288088707e-06,aboard,0,1.0,0.0007819055987539287,1.3031759979232145e-05,0.0007818554108072114,0.0046186308279332275,7.697718046555379e-05,0.004618334373222752,6.310673594928058e-06,1.0517789324880096e-07,6.31026853356178e-06,0.008070889382279603,0.00013451482303799338,0.008069381569449686
